country_or_area,initial_year,initial_transformation,slope,r_squared
Afghanistan,1990,4,-0.08180064308681628,0.6193477262287355
Albania,1990,169,-6.767801857585185,0.5840857000537738
Algeria,1990,0,-0.03571428571427968,0.061224489795904606
Angola,1990,40,6.956923076923076,0.42942445506826676
Antigua and Barbuda,1990,9,1.2623076923076924,0.8557717730925585
Argentina,1990,1800,67.10769230769229,0.32341953417683017
Armenia,1992,300,-52.70000000000059,0.8933295163593696
Aruba,1990,105,5.0661538461538465,0.5214190624116151
Australia,1990,367,-2.986153846153842,0.08918624098516087
Austria,1990,658,-23.994615384615376,0.7988405184679322
Azerbaijan,1992,4700,-241.49802371541801,0.9248870700891186
Bangladesh,1990,302,24.337692307692308,0.37224600163344834
Barbados,1990,124,4.029130769230769,0.7953288425719045
Belarus,1992,7434,-264.3972332015815,0.7798672840180016
Belgium,1990,254,-11.848461538461542,0.45753279631208515
Belize,2009,3.6,0.1677142857143075,0.8794998872662305
Benin,1990,2,0.10175438596491237,0.20688806888068875
Bermuda,1990,28,4.346544615384614,0.8014259495859513
"Bonaire, St Eustatius, Saba",2012,27.3,0.7500000000002441,0.7499999999997504
Bosnia and Herzegovina,1992,100,0.25395256917003667,0.00580243690226863
Botswana,1990,29,-0.4478241228730305,0.1383287226240399
Brazil,1990,689,41.39461538461536,0.19644067225380105
Bulgaria,1990,938,-39.02846153846153,0.7469788138632671
Burkina Faso,1990,2,0.49138900230769234,0.720342543774634
Burundi,1990,1,0.19269230769230772,0.35957555927386087
Cabo Verde,1990,2,2.9567895384615386,0.8833880389074117
Cambodia,1990,24,8.95384615384615,0.5093473120291973
Cameroon,2000,0,5.799999999999818,0.8827961960936168
Canada,1990,3306,-82.81923076923078,0.3970445031930759
Chile,1990,300,-9.133076923076928,0.27499484258342666
China,1990,12856,-546.8703076923076,0.6437183345298629
"China, Hong Kong SAR",1990,55,-1.2946153846153843,0.2712615275823048
"China, Macao SAR",1990,170,-5.650769230769231,0.22509953252599413
Colombia,1990,20,-4.9390730000000005,0.19853681529870335
Congo,2009,3,-0.5142857142857244,0.6311688311687251
Costa Rica,1990,5,4.617195936145728,0.3727212832740863
Côte d'Ivoire,1990,45,-0.6999999999999997,0.010044568238097594
Croatia,1992,687,-30.570158102767383,0.5917167312469239
Cuba,1990,3137,-101.76202484004448,0.6097278082953811
Curaçao,2012,203,-3.0000000000015756,1
Cyprus,1990,540,18.63076923076923,0.4218981625319359
Czechia,1992,547,-26.081027667984493,0.7975989826685042
Dem. Rep. of the Congo,1990,1,0.15098901098901402,0.6612386429706937
Denmark,1990,262,-10.880769230769229,0.36789560957452744
Djibouti,1990,25,2.5584615384615383,0.8699227512142583
Dominican Republic,1990,1012,16.47147692307693,0.33936954796360186
Ecuador,1990,336,27.39523846153845,0.8365901353257088
Egypt,1990,3260,139.1,0.43140059154556804
El Salvador,1990,41,20.222307692307684,0.8803408501172426
Eritrea,1994,61,0.8051948051948143,0.1419354521084797
Estonia,1992,571,-22.525691699604856,0.7639054778662622
"Ethiopia, incl. Eritrea",1990,8,-1.9860273225978183e-16,0
Faeroe Islands,1990,21.902,0.7705023076923078,0.8031816726744738
Fiji,1990,5,1.2600423555130456,0.6186177759924507
Finland,1990,543,-9.404615384615385,0.5135020304679296
France,1990,1657,-39.5969230769231,0.284015581046256
French Guiana,1990,23,-1.133461538461538,0.15969858990704422
French Polynesia,1990,15,1.243166440769231,0.5559285081042944
Gabon,2000,30,-2.4107142857141897,0.4653311881430697
Georgia,1998,111,-11.500000000001075,0.903758542141191
Germany,1991,2775,-87.62478260869582,0.6891130639345525
"Germany, Fed. R. (former)",1990,1332,NA,0
Ghana,1990,3,0.8356643356644339,0.30360847665132595
Gibraltar,1990,19,1.083846153846154,0.9755833998372455
Greece,1990,1455,-27.158461538461562,0.4745682679068281
Guadeloupe,1990,122,1.9784615384615358,0.5069056793925703
Guatemala,1990,13,19.108692307692305,0.511059578249394
Guernsey,2002,12.3457,2.8446974554396074,0.5111555008004481
Guinea,1990,113,0.47384615384615264,0.04557920530437719
Guyana,1990,87,3.8609023846153834,0.575679330127331
Haiti,1990,54,1.4772129230769233,0.14142832473882022
Honduras,1990,40,38.650000000000006,0.8699148550410419
Hungary,1990,570,-78.35923076923076,0.6851868401025702
Iceland,1995,1,-0.2505494505494481,0.1281656804733714
India,1990,2450,-70.66230769230769,0.1783939035178398
Indonesia,1990,1910,-13.513846153846167,0.042734575282868115
Iran (Islamic Rep. of),1990,4542,293.21343560307696,0.6339095334234293
Iraq,1990,3544,69.73461538461538,0.10423300279548854
Ireland,1990,339,-27.144615384615385,0.281401422958057
Isle of Man,2002,10,-0.6111538461538499,0.6583596524020376
Israel,1990,2435,-107.29692307692311,0.8616109610274393
Italy,1990,21798,-1196.7630769230768,0.9149385130395632
Jamaica,1990,499,-17.165943846153848,0.0740207586063008
Japan,1990,25834,-536.4169230769235,0.6285855255630259
Jersey,1991,45.01,-3.1212226086957364,0.761597676328209
Jordan,1990,791,1.764834345384612,0.001223807867976454
Kazakhstan,1992,2800,-94.41996047430848,0.7422255560082602
Kenya,1990,30,13.927538461538457,0.5033625726669653
"Korea, Dem.Ppl's.Rep.",1995,150,-8.955639097743406,0.2926078134178997
"Korea, Republic of",1990,4198,-193.68846153846158,0.515375763783118
Kuwait,1990,2175,335.80615384615385,0.8033843623137322
Kyrgyzstan,2007,33,-2.738095238094605,0.04431198316645691
Lao People's Dem. Rep.,1990,8,0.6508461538461536,0.7855845321783126
Latvia,1992,371,-14.718379446640375,0.7368821663834257
Lebanon,1990,894,3.230000000000004,0.015448314664281456
Liberia,1990,57,0.05999999999999981,0.0039652951941977965
Libya,1990,1850,-33.4123076923077,0.31401719691011226
Lithuania,1992,1536,-42.73122529644241,0.6322060809154942
Luxembourg,1990,3,-0.6309523809522393,0.08365347389734826
Madagascar,2008,42.150047,1.6190137515260803,0.8466954979248722
Malaysia,1990,2873,-113.61824615384614,0.7350434003751314
Mali,2007,10,-0.9523809523806428,0.04010025062654495
Malta,1990,310,8.227692307692307,0.45723024001518864
Martinique,1990,182,7.39517738461538,0.9822398370597653
Mauritania,1990,21,2.4665692307692306,0.776702545696304
Mauritius,1990,94,4.6699999999999955,0.7508392514375064
Mexico,1990,15508,-406.9338461538461,0.4531678175607721
Mongolia,2007,8,-0.491666666666647,0.4844237689111712
Morocco,1990,1205,-11.510769230769217,0.08112236662082399
Myanmar,1990,47,-1.2499999999999925,0.20863801106378516
Nepal,1998,27,-0.7995098039215789,0.3760540184453394
Neth. Antilles (former),1990,184,5.362507058159154,0.9245268482444987
Netherlands,1990,276,-17.146563192904416,0.6366482433578139
New Caledonia,1990,150,6.873923076923077,0.7613980246739943
Nicaragua,1990,158,15.226153846153847,0.8111163151782147
Niger,2008,2.2,-0.5928571428569863,0.6160794133427673
Nigeria,1990,250,-11.21428571428487,0.1905163085484528
Other Asia,1990,4585,-180.15153846153848,0.6931078168653668
Pakistan,1990,1750,261.7209499999999,0.7457442456743217
Panama,1990,106,14.457692307692305,0.49612097974934677
Papua New Guinea,1990,180,15.328217540434121,0.6874927039906631
Paraguay,1990,5,0.7000000000000944,0.2606382978723493
Peru,1990,460,-3.042483076923077,0.04046287596491246
Philippines,1990,2067,-102.77100384615385,0.49431943063049255
Poland,1990,1634,-44.57769230769229,0.7108785973826693
Portugal,1990,2180,-94.72769230769232,0.7258149080959458
Puerto Rico,2001,3855.458848,-67.74233533198066,0.18710759776593794
