country_or_area,slope,r_squared,year,unit,quantity
Iraq,1559.4999999999998,0.9825667187414369,2011,"Metric tons,  thousand",5061
Iraq,1559.4999999999998,0.9825667187414369,2012,"Metric tons,  thousand",6723
Iraq,1559.4999999999998,0.9825667187414369,2013,"Metric tons,  thousand",7756
Iraq,1559.4999999999998,0.9825667187414369,2014,"Metric tons,  thousand",9915
Saudi Arabia,416.5261538461539,0.9733528346985947,1990,"Metric tons,  thousand",3752
Saudi Arabia,416.5261538461539,0.9733528346985947,1991,"Metric tons,  thousand",3871
Saudi Arabia,416.5261538461539,0.9733528346985947,1992,"Metric tons,  thousand",4074
Saudi Arabia,416.5261538461539,0.9733528346985947,1993,"Metric tons,  thousand",4355
Saudi Arabia,416.5261538461539,0.9733528346985947,1994,"Metric tons,  thousand",5144
Saudi Arabia,416.5261538461539,0.9733528346985947,1995,"Metric tons,  thousand",4863
Saudi Arabia,416.5261538461539,0.9733528346985947,1996,"Metric tons,  thousand",5418
Saudi Arabia,416.5261538461539,0.9733528346985947,1997,"Metric tons,  thousand",6070
Saudi Arabia,416.5261538461539,0.9733528346985947,1998,"Metric tons,  thousand",6564
Saudi Arabia,416.5261538461539,0.9733528346985947,1999,"Metric tons,  thousand",7296
Saudi Arabia,416.5261538461539,0.9733528346985947,2000,"Metric tons,  thousand",7568
Saudi Arabia,416.5261538461539,0.9733528346985947,2001,"Metric tons,  thousand",8312
Saudi Arabia,416.5261538461539,0.9733528346985947,2002,"Metric tons,  thousand",7565
Saudi Arabia,416.5261538461539,0.9733528346985947,2003,"Metric tons,  thousand",8270
Saudi Arabia,416.5261538461539,0.9733528346985947,2004,"Metric tons,  thousand",8481
Saudi Arabia,416.5261538461539,0.9733528346985947,2005,"Metric tons,  thousand",8965
Saudi Arabia,416.5261538461539,0.9733528346985947,2006,"Metric tons,  thousand",9519
Saudi Arabia,416.5261538461539,0.9733528346985947,2007,"Metric tons,  thousand",9483
Saudi Arabia,416.5261538461539,0.9733528346985947,2008,"Metric tons,  thousand",10329
Saudi Arabia,416.5261538461539,0.9733528346985947,2009,"Metric tons,  thousand",11095
Saudi Arabia,416.5261538461539,0.9733528346985947,2010,"Metric tons,  thousand",11306
Saudi Arabia,416.5261538461539,0.9733528346985947,2011,"Metric tons,  thousand",12728
Saudi Arabia,416.5261538461539,0.9733528346985947,2012,"Metric tons,  thousand",13381
Saudi Arabia,416.5261538461539,0.9733528346985947,2013,"Metric tons,  thousand",13780
Saudi Arabia,416.5261538461539,0.9733528346985947,2014,"Metric tons,  thousand",12585
Indonesia,216.06923076923076,0.6786863430100867,1990,"Metric tons,  thousand",3500
Indonesia,216.06923076923076,0.6786863430100867,1991,"Metric tons,  thousand",3850
Indonesia,216.06923076923076,0.6786863430100867,1992,"Metric tons,  thousand",2373
Indonesia,216.06923076923076,0.6786863430100867,1993,"Metric tons,  thousand",3440
Indonesia,216.06923076923076,0.6786863430100867,1994,"Metric tons,  thousand",1990
Indonesia,216.06923076923076,0.6786863430100867,1995,"Metric tons,  thousand",1904
Indonesia,216.06923076923076,0.6786863430100867,1996,"Metric tons,  thousand",2240
Indonesia,216.06923076923076,0.6786863430100867,1997,"Metric tons,  thousand",3433
Indonesia,216.06923076923076,0.6786863430100867,1998,"Metric tons,  thousand",2566
Indonesia,216.06923076923076,0.6786863430100867,1999,"Metric tons,  thousand",2335
Indonesia,216.06923076923076,0.6786863430100867,2000,"Metric tons,  thousand",2711
Indonesia,216.06923076923076,0.6786863430100867,2001,"Metric tons,  thousand",2867
Indonesia,216.06923076923076,0.6786863430100867,2002,"Metric tons,  thousand",3904
Indonesia,216.06923076923076,0.6786863430100867,2003,"Metric tons,  thousand",4401
Indonesia,216.06923076923076,0.6786863430100867,2004,"Metric tons,  thousand",5700
Indonesia,216.06923076923076,0.6786863430100867,2005,"Metric tons,  thousand",6517
Indonesia,216.06923076923076,0.6786863430100867,2006,"Metric tons,  thousand",6464
Indonesia,216.06923076923076,0.6786863430100867,2007,"Metric tons,  thousand",6753
Indonesia,216.06923076923076,0.6786863430100867,2008,"Metric tons,  thousand",7e3
Indonesia,216.06923076923076,0.6786863430100867,2009,"Metric tons,  thousand",5156
Indonesia,216.06923076923076,0.6786863430100867,2010,"Metric tons,  thousand",6292
Indonesia,216.06923076923076,0.6786863430100867,2011,"Metric tons,  thousand",7805
Indonesia,216.06923076923076,0.6786863430100867,2012,"Metric tons,  thousand",7491
Indonesia,216.06923076923076,0.6786863430100867,2013,"Metric tons,  thousand",6003
Indonesia,216.06923076923076,0.6786863430100867,2014,"Metric tons,  thousand",5896
United States,-40.6923076923077,0.04827201980941264,1990,"Metric tons,  thousand",1969
United States,-40.6923076923077,0.04827201980941264,1991,"Metric tons,  thousand",1840
United States,-40.6923076923077,0.04827201980941264,1992,"Metric tons,  thousand",1549
