country_or_area,slope,r_squared,year,unit,quantity
United States,-5766.270769230774,0.6095982790018882,1990,"Metric tons,  thousand",418513
United States,-5766.270769230774,0.6095982790018882,1991,"Metric tons,  thousand",419063
United States,-5766.270769230774,0.6095982790018882,1992,"Metric tons,  thousand",444443
United States,-5766.270769230774,0.6095982790018882,1993,"Metric tons,  thousand",450428
United States,-5766.270769230774,0.6095982790018882,1994,"Metric tons,  thousand",435870
United States,-5766.270769230774,0.6095982790018882,1995,"Metric tons,  thousand",416338
United States,-5766.270769230774,0.6095982790018882,1996,"Metric tons,  thousand",437617
United States,-5766.270769230774,0.6095982790018882,1997,"Metric tons,  thousand",444799
United States,-5766.270769230774,0.6095982790018882,1998,"Metric tons,  thousand",455896
United States,-5766.270769230774,0.6095982790018882,1999,"Metric tons,  thousand",433732
United States,-5766.270769230774,0.6095982790018882,2000,"Metric tons,  thousand",455742
United States,-5766.270769230774,0.6095982790018882,2001,"Metric tons,  thousand",426006
United States,-5766.270769230774,0.6095982790018882,2002,"Metric tons,  thousand",356389
United States,-5766.270769230774,0.6095982790018882,2003,"Metric tons,  thousand",341300
United States,-5766.270769230774,0.6095982790018882,2004,"Metric tons,  thousand",330709
United States,-5766.270769230774,0.6095982790018882,2005,"Metric tons,  thousand",328316
United States,-5766.270769230774,0.6095982790018882,2006,"Metric tons,  thousand",346747
United States,-5766.270769230774,0.6095982790018882,2007,"Metric tons,  thousand",320114
United States,-5766.270769230774,0.6095982790018882,2008,"Metric tons,  thousand",426039
United States,-5766.270769230774,0.6095982790018882,2009,"Metric tons,  thousand",351771
United States,-5766.270769230774,0.6095982790018882,2010,"Metric tons,  thousand",381047
United States,-5766.270769230774,0.6095982790018882,2011,"Metric tons,  thousand",347557
United States,-5766.270769230774,0.6095982790018882,2012,"Metric tons,  thousand",296192
United States,-5766.270769230774,0.6095982790018882,2013,"Metric tons,  thousand",306996
United States,-5766.270769230774,0.6095982790018882,2014,"Metric tons,  thousand",319846
China,81557.10999999999,0.9287983438923233,1990,"Metric tons,  thousand",301998
China,81557.10999999999,0.9287983438923233,1991,"Metric tons,  thousand",335576
China,81557.10999999999,0.9287983438923233,1992,"Metric tons,  thousand",373106
China,81557.10999999999,0.9287983438923233,1993,"Metric tons,  thousand",415160
China,81557.10999999999,0.9287983438923233,1994,"Metric tons,  thousand",455858
China,81557.10999999999,0.9287983438923233,1995,"Metric tons,  thousand",503275
China,81557.10999999999,0.9287983438923233,1996,"Metric tons,  thousand",551743
China,81557.10999999999,0.9287983438923233,1997,"Metric tons,  thousand",522240
China,81557.10999999999,0.9287983438923233,1998,"Metric tons,  thousand",568319
China,81557.10999999999,0.9287983438923233,1999,"Metric tons,  thousand",590038
China,81557.10999999999,0.9287983438923233,2000,"Metric tons,  thousand",613032
China,81557.10999999999,0.9287983438923233,2001,"Metric tons,  thousand",646494
China,81557.10999999999,0.9287983438923233,2002,"Metric tons,  thousand",775737
China,81557.10999999999,0.9287983438923233,2003,"Metric tons,  thousand",928613
China,81557.10999999999,0.9287983438923233,2004,"Metric tons,  thousand",1035081
China,81557.10999999999,0.9287983438923233,2005,"Metric tons,  thousand",1172049
China,81557.10999999999,0.9287983438923233,2006,"Metric tons,  thousand",1333764
China,81557.10999999999,0.9287983438923233,2007,"Metric tons,  thousand",1433582
China,81557.10999999999,0.9287983438923233,2008,"Metric tons,  thousand",1477138
China,81557.10999999999,0.9287983438923233,2009,"Metric tons,  thousand",1593270
China,81557.10999999999,0.9287983438923233,2010,"Metric tons,  thousand",1712956
China,81557.10999999999,0.9287983438923233,2011,"Metric tons,  thousand",1949127
China,81557.10999999999,0.9287983438923233,2012,"Metric tons,  thousand",2073107
China,81557.10999999999,0.9287983438923233,2013,"Metric tons,  thousand",2178869
