country_or_area,slope,r_squared,year,unit,quantity
Russian Federation,78840.80632411364,0.33896668082828335,1992,Terajoules,10794027
Russian Federation,78840.80632411364,0.33896668082828335,1993,Terajoules,9933334
Russian Federation,78840.80632411364,0.33896668082828335,1994,Terajoules,9392110
Russian Federation,78840.80632411364,0.33896668082828335,1995,Terajoules,8840666
Russian Federation,78840.80632411364,0.33896668082828335,1996,Terajoules,8809222
Russian Federation,78840.80632411364,0.33896668082828335,1997,Terajoules,8655667
Russian Federation,78840.80632411364,0.33896668082828335,1998,Terajoules,8475e3
Russian Federation,78840.80632411364,0.33896668082828335,1999,Terajoules,8634735
Russian Federation,78840.80632411364,0.33896668082828335,2000,Terajoules,8672e3
Russian Federation,78840.80632411364,0.33896668082828335,2001,Terajoules,8827779
Russian Federation,78840.80632411364,0.33896668082828335,2002,Terajoules,8964222
Russian Federation,78840.80632411364,0.33896668082828335,2003,Terajoules,9230111
Russian Federation,78840.80632411364,0.33896668082828335,2004,Terajoules,9324444
Russian Federation,78840.80632411364,0.33896668082828335,2005,Terajoules,948e4
Russian Federation,78840.80632411364,0.33896668082828335,2006,Terajoules,9755779
Russian Federation,78840.80632411364,0.33896668082828335,2007,Terajoules,9958222
Russian Federation,78840.80632411364,0.33896668082828335,2008,Terajoules,9869223
Russian Federation,78840.80632411364,0.33896668082828335,2009,Terajoules,9500739
Russian Federation,78840.80632411364,0.33896668082828335,2010,Terajoules,10295437
Russian Federation,78840.80632411364,0.33896668082828335,2011,Terajoules,11019565
Russian Federation,78840.80632411364,0.33896668082828335,2012,Terajoules,11226947
Russian Federation,78840.80632411364,0.33896668082828335,2013,Terajoules,11778148
Russian Federation,78840.80632411364,0.33896668082828335,2014,Terajoules,10315757
USSR (former),-350936.99999982823,1,1990,Terajoules,8765937
USSR (former),-350936.99999982823,1,1991,Terajoules,8415e3
United States,210181.1753846154,0.9153717373600211,1990,Terajoules,4175718
United States,210181.1753846154,0.9153717373600211,1991,Terajoules,4719199
United States,210181.1753846154,0.9153717373600211,1992,Terajoules,5055715
United States,210181.1753846154,0.9153717373600211,1993,Terajoules,5101165
United States,210181.1753846154,0.9153717373600211,1994,Terajoules,5567030
United States,210181.1753846154,0.9153717373600211,1995,Terajoules,5983071
United States,210181.1753846154,0.9153717373600211,1996,Terajoules,5744477
United States,210181.1753846154,0.9153717373600211,1997,Terajoules,6158156
United States,210181.1753846154,0.9153717373600211,1998,Terajoules,6593460
United States,210181.1753846154,0.9153717373600211,1999,Terajoules,6895749
United States,210181.1753846154,0.9153717373600211,2000,Terajoules,6369334
United States,210181.1753846154,0.9153717373600211,2001,Terajoules,6498385
United States,210181.1753846154,0.9153717373600211,2002,Terajoules,6876082
United States,210181.1753846154,0.9153717373600211,2003,Terajoules,6315449
United States,210181.1753846154,0.9153717373600211,2004,Terajoules,6797598
United States,210181.1753846154,0.9153717373600211,2005,Terajoules,7194617
United States,210181.1753846154,0.9153717373600211,2006,Terajoules,7367427
United States,210181.1753846154,0.9153717373600211,2007,Terajoules,8055520
United States,210181.1753846154,0.9153717373600211,2008,Terajoules,7828926
United States,210181.1753846154,0.9153717373600211,2009,Terajoules,8033275
United States,210181.1753846154,0.9153717373600211,2010,Terajoules,8610217
United States,210181.1753846154,0.9153717373600211,2011,Terajoules,8828413
United States,210181.1753846154,0.9153717373600211,2012,Terajoules,10578971
United States,210181.1753846154,0.9153717373600211,2013,Terajoules,9626697
United States,210181.1753846154,0.9153717373600211,2014,Terajoules,9602281
Japan,76349.9730769231,0.8476340745354595,1990,Terajoules,1555133
Japan,76349.9730769231,0.8476340745354595,1991,Terajoules,1663669
Japan,76349.9730769231,0.8476340745354595,1992,Terajoules,1653528
Japan,76349.9730769231,0.8476340745354595,1993,Terajoules,1661035
Japan,76349.9730769231,0.8476340745354595,1994,Terajoules,1772759
Japan,76349.9730769231,0.8476340745354595,1995,Terajoules,1799660
Japan,76349.9730769231,0.8476340745354595,1996,Terajoules,1888433
Japan,76349.9730769231,0.8476340745354595,1997,Terajoules,1949283
Japan,76349.9730769231,0.8476340745354595,1998,Terajoules,2008425
Japan,76349.9730769231,0.8476340745354595,1999,Terajoules,2138788
Japan,76349.9730769231,0.8476340745354595,2000,Terajoules,2196178
Japan,76349.9730769231,0.8476340745354595,2001,Terajoules,2181590
Japan,76349.9730769231,0.8476340745354595,2002,Terajoules,2196072
Japan,76349.9730769231,0.8476340745354595,2003,Terajoules,2276891
Japan,76349.9730769231,0.8476340745354595,2004,Terajoules,2188277
Japan,76349.9730769231,0.8476340745354595,2005,Terajoules,2075285
Japan,76349.9730769231,0.8476340745354595,2006,Terajoules,2279864
Japan,76349.9730769231,0.8476340745354595,2007,Terajoules,2497933
Japan,76349.9730769231,0.8476340745354595,2008,Terajoules,2426972
Japan,76349.9730769231,0.8476340745354595,2009,Terajoules,2618431
Japan,76349.9730769231,0.8476340745354595,2010,Terajoules,2737321
Japan,76349.9730769231,0.8476340745354595,2011,Terajoules,3350185
Japan,76349.9730769231,0.8476340745354595,2012,Terajoules,3519872
Japan,76349.9730769231,0.8476340745354595,2013,Terajoules,3534425
Japan,76349.9730769231,0.8476340745354595,2014,Terajoules,3589611
Ukraine,-9345.512845849866,0.12081200575777488,1992,Terajoules,765500
Ukraine,-9345.512845849866,0.12081200575777488,1993,Terajoules,765500
Ukraine,-9345.512845849866,0.12081200575777488,1994,Terajoules,765500
Ukraine,-9345.512845849866,0.12081200575777488,1995,Terajoules,765500
Ukraine,-9345.512845849866,0.12081200575777488,1996,Terajoules,105e4
Ukraine,-9345.512845849866,0.12081200575777488,1997,Terajoules,778e3
Ukraine,-9345.512845849866,0.12081200575777488,1998,Terajoules,556e3
Ukraine,-9345.512845849866,0.12081200575777488,1999,Terajoules,603145
Ukraine,-9345.512845849866,0.12081200575777488,2000,Terajoules,581950
Ukraine,-9345.512845849866,0.12081200575777488,2001,Terajoules,377804
Ukraine,-9345.512845849866,0.12081200575777488,2002,Terajoules,413479
Ukraine,-9345.512845849866,0.12081200575777488,2003,Terajoules,496739
Ukraine,-9345.512845849866,0.12081200575777488,2004,Terajoules,459763
Ukraine,-9345.512845849866,0.12081200575777488,2005,Terajoules,410503
Ukraine,-9345.512845849866,0.12081200575777488,2006,Terajoules,338380
Ukraine,-9345.512845849866,0.12081200575777488,2007,Terajoules,323573
Ukraine,-9345.512845849866,0.12081200575777488,2008,Terajoules,783046
Ukraine,-9345.512845849866,0.12081200575777488,2009,Terajoules,606249
Ukraine,-9345.512845849866,0.12081200575777488,2010,Terajoules,721328
Ukraine,-9345.512845849866,0.12081200575777488,2011,Terajoules,748376
Ukraine,-9345.512845849866,0.12081200575777488,2012,Terajoules,687183
Ukraine,-9345.512845849866,0.12081200575777488,2013,Terajoules,617500
Ukraine,-9345.512845849866,0.12081200575777488,2014,Terajoules,474362
Uzbekistan,4583.11660079067,0.3283494686072491,1992,Terajoules,622140
Uzbekistan,4583.11660079067,0.3283494686072491,1993,Terajoules,649839
Uzbekistan,4583.11660079067,0.3283494686072491,1994,Terajoules,571495
Uzbekistan,4583.11660079067,0.3283494686072491,1995,Terajoules,496886
Uzbekistan,4583.11660079067,0.3283494686072491,1996,Terajoules,470780
Uzbekistan,4583.11660079067,0.3283494686072491,1997,Terajoules,478523
Uzbekistan,4583.11660079067,0.3283494686072491,1998,Terajoules,531312
Uzbekistan,4583.11660079067,0.3283494686072491,1999,Terajoules,534482
Uzbekistan,4583.11660079067,0.3283494686072491,2000,Terajoules,555025
Uzbekistan,4583.11660079067,0.3283494686072491,2001,Terajoules,568217
Uzbekistan,4583.11660079067,0.3283494686072491,2002,Terajoules,586639
Uzbekistan,4583.11660079067,0.3283494686072491,2003,Terajoules,574052
Uzbekistan,4583.11660079067,0.3283494686072491,2004,Terajoules,567674
Uzbekistan,4583.11660079067,0.3283494686072491,2005,Terajoules,572519
Uzbekistan,4583.11660079067,0.3283494686072491,2006,Terajoules,593214
Uzbekistan,4583.11660079067,0.3283494686072491,2007,Terajoules,619964
Uzbekistan,4583.11660079067,0.3283494686072491,2008,Terajoules,565239
Uzbekistan,4583.11660079067,0.3283494686072491,2009,Terajoules,608737
Uzbekistan,4583.11660079067,0.3283494686072491,2010,Terajoules,617294
Uzbekistan,4583.11660079067,0.3283494686072491,2011,Terajoules,640532
Uzbekistan,4583.11660079067,0.3283494686072491,2012,Terajoules,631565
Uzbekistan,4583.11660079067,0.3283494686072491,2013,Terajoules,652504
Uzbekistan,4583.11660079067,0.3283494686072491,2014,Terajoules,667505
Saudi Arabia,53046.98789753845,0.9452449770637383,1990,Terajoules,516377
Saudi Arabia,53046.98789753845,0.9452449770637383,1991,Terajoules,544605
Saudi Arabia,53046.98789753845,0.9452449770637383,1992,Terajoules,564520
Saudi Arabia,53046.98789753845,0.9452449770637383,1993,Terajoules,601123
Saudi Arabia,53046.98789753845,0.9452449770637383,1994,Terajoules,628915
Saudi Arabia,53046.98789753845,0.9452449770637383,1995,Terajoules,625394
Saudi Arabia,53046.98789753845,0.9452449770637383,1996,Terajoules,626661
Saudi Arabia,53046.98789753845,0.9452449770637383,1997,Terajoules,670300
Saudi Arabia,53046.98789753845,0.9452449770637383,1998,Terajoules,682317
Saudi Arabia,53046.98789753845,0.9452449770637383,1999,Terajoules,677377.2453
Saudi Arabia,53046.98789753845,0.9452449770637383,2000,Terajoules,836560
Saudi Arabia,53046.98789753845,0.9452449770637383,2001,Terajoules,968217
Saudi Arabia,53046.98789753845,0.9452449770637383,2002,Terajoules,1083321.9992
Saudi Arabia,53046.98789753845,0.9452449770637383,2003,Terajoules,1140982.9992
Saudi Arabia,53046.98789753845,0.9452449770637383,2004,Terajoules,1205721
Saudi Arabia,53046.98789753845,0.9452449770637383,2005,Terajoules,1310068.9993
Saudi Arabia,53046.98789753845,0.9452449770637383,2006,Terajoules,1307294.0014
Saudi Arabia,53046.98789753845,0.9452449770637383,2007,Terajoules,1289213
Saudi Arabia,53046.98789753845,0.9452449770637383,2008,Terajoules,1336845
Saudi Arabia,53046.98789753845,0.9452449770637383,2009,Terajoules,1288608
Saudi Arabia,53046.98789753845,0.9452449770637383,2010,Terajoules,1403473
Saudi Arabia,53046.98789753845,0.9452449770637383,2011,Terajoules,1380378
Saudi Arabia,53046.98789753845,0.9452449770637383,2012,Terajoules,1538835
Saudi Arabia,53046.98789753845,0.9452449770637383,2013,Terajoules,1751556
Saudi Arabia,53046.98789753845,0.9452449770637383,2014,Terajoules,1801750
Belarus,6297.15909090923,0.4831686348762891,1992,Terajoules,511257
Belarus,6297.15909090923,0.4831686348762891,1993,Terajoules,486099
Belarus,6297.15909090923,0.4831686348762891,1994,Terajoules,438478
Belarus,6297.15909090923,0.4831686348762891,1995,Terajoules,383671
Belarus,6297.15909090923,0.4831686348762891,1996,Terajoules,415109
Belarus,6297.15909090923,0.4831686348762891,1997,Terajoules,494632
Belarus,6297.15909090923,0.4831686348762891,1998,Terajoules,469064
Belarus,6297.15909090923,0.4831686348762891,1999,Terajoules,484899
Belarus,6297.15909090923,0.4831686348762891,2000,Terajoules,497722
Belarus,6297.15909090923,0.4831686348762891,2001,Terajoules,504403
Belarus,6297.15909090923,0.4831686348762891,2002,Terajoules,510352
Belarus,6297.15909090923,0.4831686348762891,2003,Terajoules,526997
Belarus,6297.15909090923,0.4831686348762891,2004,Terajoules,578634
Belarus,6297.15909090923,0.4831686348762891,2005,Terajoules,586591
Belarus,6297.15909090923,0.4831686348762891,2006,Terajoules,589063
Belarus,6297.15909090923,0.4831686348762891,2007,Terajoules,587788
Belarus,6297.15909090923,0.4831686348762891,2008,Terajoules,598775
Belarus,6297.15909090923,0.4831686348762891,2009,Terajoules,463966
Belarus,6297.15909090923,0.4831686348762891,2010,Terajoules,610460
Belarus,6297.15909090923,0.4831686348762891,2011,Terajoules,567975
Belarus,6297.15909090923,0.4831686348762891,2012,Terajoules,548084
Belarus,6297.15909090923,0.4831686348762891,2013,Terajoules,553917
Belarus,6297.15909090923,0.4831686348762891,2014,Terajoules,555203
Germany,17656.633478261156,0.6272557577389857,1991,Terajoules,496505
Germany,17656.633478261156,0.6272557577389857,1992,Terajoules,443789
Germany,17656.633478261156,0.6272557577389857,1993,Terajoules,448780
Germany,17656.633478261156,0.6272557577389857,1994,Terajoules,531319
Germany,17656.633478261156,0.6272557577389857,1995,Terajoules,567813
Germany,17656.633478261156,0.6272557577389857,1996,Terajoules,625491
Germany,17656.633478261156,0.6272557577389857,1997,Terajoules,613322
Germany,17656.633478261156,0.6272557577389857,1998,Terajoules,631964
Germany,17656.633478261156,0.6272557577389857,1999,Terajoules,646184
Germany,17656.633478261156,0.6272557577389857,2000,Terajoules,571151
Germany,17656.633478261156,0.6272557577389857,2001,Terajoules,669838
Germany,17656.633478261156,0.6272557577389857,2002,Terajoules,669838
Germany,17656.633478261156,0.6272557577389857,2003,Terajoules,800988
Germany,17656.633478261156,0.6272557577389857,2004,Terajoules,798201
Germany,17656.633478261156,0.6272557577389857,2005,Terajoules,864390
Germany,17656.633478261156,0.6272557577389857,2006,Terajoules,902330
Germany,17656.633478261156,0.6272557577389857,2007,Terajoules,874743
Germany,17656.633478261156,0.6272557577389857,2008,Terajoules,953071
Germany,17656.633478261156,0.6272557577389857,2009,Terajoules,878186
Germany,17656.633478261156,0.6272557577389857,2010,Terajoules,945334
Germany,17656.633478261156,0.6272557577389857,2011,Terajoules,878434
Germany,17656.633478261156,0.6272557577389857,2012,Terajoules,791956
Germany,17656.633478261156,0.6272557577389857,2013,Terajoules,729098
Germany,17656.633478261156,0.6272557577389857,2014,Terajoules,650936
Romania,-15751.828461538471,0.7810813249434708,1990,Terajoules,417957
Romania,-15751.828461538471,0.7810813249434708,1991,Terajoules,410488
Romania,-15751.828461538471,0.7810813249434708,1992,Terajoules,602669
Romania,-15751.828461538471,0.7810813249434708,1993,Terajoules,539500
Romania,-15751.828461538471,0.7810813249434708,1994,Terajoules,358530
Romania,-15751.828461538471,0.7810813249434708,1995,Terajoules,333486
Romania,-15751.828461538471,0.7810813249434708,1996,Terajoules,364394
Romania,-15751.828461538471,0.7810813249434708,1997,Terajoules,270523
Romania,-15751.828461538471,0.7810813249434708,1998,Terajoules,288736
Romania,-15751.828461538471,0.7810813249434708,1999,Terajoules,237640
Romania,-15751.828461538471,0.7810813249434708,2000,Terajoules,223289
Romania,-15751.828461538471,0.7810813249434708,2001,Terajoules,190150
Romania,-15751.828461538471,0.7810813249434708,2002,Terajoules,191446
Romania,-15751.828461538471,0.7810813249434708,2003,Terajoules,217636
Romania,-15751.828461538471,0.7810813249434708,2004,Terajoules,201769
Romania,-15751.828461538471,0.7810813249434708,2005,Terajoules,186225
Romania,-15751.828461538471,0.7810813249434708,2006,Terajoules,195234
Romania,-15751.828461538471,0.7810813249434708,2007,Terajoules,190866
